Display Name	Customer Number	Currency Code	Billing City	Billing State	Billing Country	Shipping City	Shipping State	Shipping Country	Tax Registration Number	VAT Treatment	EmailID
Dürr Africa (Pty) Ltd - Balancing & Assembly Products	CUS-00040	ZAR	Johannesburg	Gauteng	South Africa	Johannesburg	Gauteng	South Africa		vat_not_registered	
Dwarsrivier Chrome mine (Pty) Ltd	CUS-00041	ZAR	Lydenburg	Limpopo	South Africa	Steelpoort	Limpopo	South Africa	4210272078	vat_registered	jacoh@dwarsrivier.co.za
Dynatec - Madagascar SA	CUS-00042	USD		Toamasina	Madagascar		Toamasina	Madagascar		overseas	Manitra.Razafindraibe@ambatovy.mg
Elite Truck Hire	CUS-00043	ZAR	Johannesburg	Gauteng	South Africa	Johannesburg	Gauteng	South Africa	4130141197	vat_registered	lesleyp@elitetruck.co.za
Engie - Peakers Operations (Pty) Ltd	CUS-00044	ZAR	Durban	Kwazulu-Natal	South Africa	uMhlanga	Umhlanga Ridge	South Africa	4580269977	vat_registered	natasha.james@engie.com
Engie - Kathu Operations (Pty) Ltd	CUS-00045	ZAR	Kathu	Northern Cape	South Africa	Kathu	Northern Cape	South Africa	4420278790	vat_registered	nomathamsanqa.mdlela@engie.com
Everest Equipment And Control cc	CUS-00046	ZAR	Durban	Kwazulu-Natal	South Africa					vat_not_registered	ran@everestsa.net
F Momberg BK t/a CMS Condition Monitoring Services	CUS-00047	ZAR	Nelspruit (Mbombela)	Mpumalanga	South Africa				4490194711	vat_registered	accounts@comoserv.com
Firmenich (Pty) Ltd - Firsouth	CUS-00048	ZAR	Johannesburg	Gauteng	South Africa	Hounslow		United Kingdom	4760105330	vat_registered	morongoa.maponya@dsm-firmenich.com
Firmenich (Pty) Ltd - Firzar	CUS-00049	ZAR	Johannesburg	Gauteng	South Africa	Hounslow		United Kingdom	4760105330	vat_registered	Sibongile.Maluleka@firmenich.com
Fixturlaser South Africa (Pty) Ltd	CUS-00050	ZAR	Johannesburg	Gauteng	South Africa	Johannesburg	Gauteng	South Africa	4320268784	vat_registered	gerrit@fixturlaser.co.za
FLSmidth SA - Saldanha	CUS-00051	ZAR	Johannesburg	Gauteng	South Africa		Madrid	Spain	4620206328	vat_registered	lincoln.frank@flsmidth.com
Fraser Alexander (Pty) Ltd	CUS-00052	ZAR	Johannesburg	Gauteng	South Africa	Johannesburg	Gauteng	South Africa	4860224031	vat_registered	KhumbulaniS@fraseralexander.co.za
Frys Metals a division of LeadX (Pty) Ltd	CUS-00053	ZAR	Johannesburg	Gauteng	South Africa	Johannesburg	Gauteng	South Africa	4820314369	vat_registered	NkosinathiG@Frys.co.za
GEA Africa (Pty) Ltd - Heating & Refrigeration Solutions Service	CUS-00054	ZAR	Johannesburg	Gauteng	South Africa	Johannesburg	Gauteng	South Africa		vat_not_registered	Langelihle.Mlovu@gea.com
GEA Africa (Pty) Ltd - Sparta, Welkom	CUS-00055	ZAR	Johannesburg	Gauteng	South Africa	Johannesburg	Gauteng	South Africa		vat_not_registered	
Givaudan South Africa (Pty) Ltd	CUS-00056	ZAR	Johannesburg	Tulisa Park	South Africa	Johannesburg South	Gauteng	South Africa	4890107479	vat_registered	Nicole.davis@givaudan.com
Glencore Marafe Venture - PSV Magareng Mine	CUS-00057	ZAR	Rustenburg	North-West	South Africa	Rustenburg	North-West	South Africa	4010216903	vat_registered	reinett.mohlala@glencore.co.za
Glencore Merafe Join Venture - PSV Helena	CUS-00058	ZAR	Steelpoort	Limpopo	South Africa	Steelpoort	Limpopo	South Africa	4010216903	vat_registered	Cheryl-Ann.Bezuidenhout@glencore.co.za
Glencore - PSV Lonmin EPL (UG2)	CUS-00059	ZAR	Marikana	North West	South Africa	Marikana	North West	South Africa		vat_not_registered	
GRN Constructions Ltd	CUS-00060	ZAR	Eggleston	Cobwebs	United Kingdom	Eggleston	Cobwebs	United Kingdom		overseas	purchase01@grnc21.com
GZ Industries South Africa (Pty) Ltd	CUS-00061	ZAR	Johannesburg	Gauteng	South Africa	Johannesburg	Gauteng	South Africa	4760282196	vat_registered	Katlego.Moloko@gzican.com
Harmony Moab Khotsong Operations (Pty) Ltd	CUS-00062	ZAR	Johannesburg	Gauteng	South Africa			South Africa	4250280130	vat_registered	
Heineken Beverages - Springs	CUS-00063	ZAR	Johannesburg	Gauteng	South Africa		Amsterdam	Netherlands	4180211080	vat_registered	cherese.bosch@heineken.com
Heineken Beverages - Wadeville	CUS-00064	ZAR	Johannesburg	Gauteng	South Africa	Burgemeester Smeetsweg 1		Netherlands	4180211080	vat_registered	Kabelo.bokgwathile@heineken.com
Howden Africa Compressor and Turbines (HACT)	CUS-00065	ZAR	Stikland	Western Cape	South Africa	Havelandseweg 8A	Industrieterrein Haveland	Netherlands	4610118533	vat_registered	Caroline.Booysen@howden.co.za
Hytec South Africa (RF) (Pty) Ltd - Richards Bay	CUS-00066	ZAR	Richards Bay	KwaZulu-Natal	South Africa	Richards Bay	KwaZulu-Natal	South Africa	4340213919	vat_registered	marius.froneman@boschrexroth.co.za
Idwala Industrial Holdings (Pty) Ltd	CUS-00067	ZAR	Johannesburg	Gauteng	South Africa	Johannesburg	Gauteng	South Africa	4280211352	vat_registered	asp@idwala.co.za
Illovo Sugar SA (Pty) Ltd - Eston	CUS-00068	ZAR		Kwazulu-Natal	South Africa	Eston		South Africa	4790254926	vat_registered	SibMkhwanazi@illovo.co.za
Illovo Sugar SA (Pty) Ltd - Sezela	CUS-00069	ZAR	Durban	Kwazulu-Natal	South Africa			South Africa	4790254926	vat_registered	MaGovender@ILLOVO.co.za
Impala Platinum Refineries Limited	CUS-00070	ZAR	Johannesburg	Gauteng	South Africa	Springs	Geduld Proprietary Mines	South Africa	4680121797	vat_registered	Brand.venter@implats.co.za
Industrial Water Cooling (Pty) Ltd	CUS-00071	ZAR	Johannesburg	Gauteng	South Africa	Johannesburg	Gauteng	South Africa	4210112092	vat_registered	edwin@iwc.co.za
Ingrain SA (Pty) Ltd - Bellville Mill	CUS-00072	ZAR	Cape Town	Western Cape	South Africa	Cape Town	Western Cape	South Africa	4670292392	vat_registered	Cheryl.Pearce@ingrainsa.com
Ingrain SA (Pty) Ltd - Germiston Mill	CUS-00073	ZAR	Johannesburg	Gauteng	South Africa	Johannesburg	Gauteng	South Africa	4670292392	vat_registered	Thembekile.Salman@ingrainsa.com
Ingrain SA (Pty) Ltd - Kliprivier Mill	CUS-00074	ZAR	Johannesburg	Gauteng	South Africa	Witkopdorp (Daleside	Daleside	South Africa	4670292392	vat_registered	Tubi.Mokotong@ingrainsa.com
Kalagadi Manganese (Pty) Ltd	CUS-00075	ZAR	Johannesburg	Gauteng	South Africa	Johannesburg	Gauteng	South Africa	4230235865	vat_registered	tebogo.maroeshe@kalagadi.co.za
Karan Beef (Pty) Ltd - Balfour	CUS-00076	ZAR	Johannesburg	Gauteng	South Africa	Balfour		South Africa	4100174228	vat_registered	benniek@karanbeef.com
Karan Beef (Pty) Ltd - City Deep	CUS-00077	ZAR	Johannesburg	Gauteng	South Africa	Johannesburg South	Gauteng	South Africa	4100174228	vat_registered	Bhernard.Montgomery@karanbeef.com
Kelvin Powerstation (Pty) Ltd	CUS-00078	ZAR	Johannesburg	Gauteng	South Africa			United Kingdom	4220193553	vat_registered	tenders@kelvinpower.com
Kibali Gold Mine	CUS-00079	USD	Kinshasa	Kinshasa	Democratic Republic of Congo					overseas	renet@wearcheck.co.za
Kimberly Clark (Pty) Ltd	CUS-00080	ZAR	Johannesburg	Gauteng	South Africa	Copernicuslaan 35		Netherlands	4220105342	vat_registered	abrahamchristoffelbraam.radley@kcc.com
Knorr Bremse	CUS-00081	ZAR	Johannesburg	Gauteng	South Africa	Rendementsweg 4N		Netherlands	4430101404	vat_registered	rudi.durandt@knorr-bremse.com
Kwena Mining Projects (Pty) Ltd	CUS-00082	ZAR	Witbank	Mpumalanga	South Africa	Emalahleni	Mpumalanga	South Africa	4260238870	vat_registered	chrisoost@kwenamining.co.za
Lactalis South Africa (Pty) Ltd	CUS-00083	ZAR	Johannesburg	Gauteng	South Africa	Johannesburg	Gauteng	South Africa	4460149752	vat_registered	Jabulani-Christ.Memela@za.lactalis.com
Marketech Consulting Engineers (Pty) Ltd	CUS-00084	ZAR	Ashton-on-Ribble	Navigation Way	United Kingdom	Ashton-on-Ribble	Navigation Way	United Kingdom	4130281724	vat_registered	jp@marketech.co.za
Martin and Robson South Africa	CUS-00085	ZAR	Johannesburg	Gauteng	South Africa	Johannesburg	Gauteng	South Africa	4610295372	vat_registered	
Eskom - Matimba Powerstation	CUS-00086	ZAR	Lephalale	Limpopo	South Africa	Lephalale	Limpopo	South Africa	4740101508	vat_registered	molaudr@eskom.co.za
McCain Foods South Africa (Pty) Ltd - Delmas	CUS-00087	ZAR	Johannesburg	Gauteng	South Africa			South Africa	4420188494	vat_registered	sabelo.mehlomakhulu@mccain.co.za
McCain Foods South Africa (Pty) Ltd - Springs	CUS-00088	ZAR	Johannesburg	Gauteng	South Africa	Johannesburg	Gauteng	South Africa	4420188494	vat_registered	carl.nel@mccain.co.za
Mediclinic (Pty) Ltd - Stellenbosch	CUS-00089	ZAR	Stellenbosch	Western Cape	South Africa	Stellenbosch	Western Cape	South Africa	4760118184	vat_registered	audrey.govindasamy@mediclinic.co.za
MediClinic(Pty) Ltd - Kloof	CUS-00090	ZAR	Pretoria	Gauteng	South Africa			Belgium	4190170326	vat_registered	Fhatuwani.Nemudivhiso@Mediclinic.co.za
Middelburg Mine Services - Seriti Power (Pty) Ltd	CUS-00091	ZAR	Johannesburg	Gauteng	South Africa	Middelburg	R575	South Africa	4850204555	vat_registered	
Modikwa Platinum Mine	CUS-00092	ZAR	Driekop	Limpopo	South Africa	Burgersfort	Limpopo	South Africa	4310113883	vat_registered	moses.mathopo@angloamerican.com
Mondi South Africa (Pty) Ltd	CUS-00093	ZAR	Johannesburg	Gauteng	South Africa	Johannesburg	Gauteng	South Africa	4330102007	vat_registered	pieter.bekker@mondigroup.com
Mpact Operations (Pty) Ltd	CUS-00094	ZAR	Johannesburg	Gauteng	South Africa			United Kingdom	4590176527	vat_registered	KAmiappen@Mpact.co.za
MpowerU Africa (Pty) Ltd	CUS-00095	ZAR	Johannesburg	Gauteng	South Africa	Johannesburg	Gauteng	South Africa	4920273176	vat_registered	charnel@mpoweru.co.za
Msobo Coal (Pty) Ltd	CUS-00096	ZAR	Breyten	Mpumalanga	South Africa			South Africa	4030216297	vat_registered	rodney.white@northerncoal.co.za
Nampak Products Ltd T/A Bevcan	CUS-00097	ZAR	Johannesburg	Gauteng	South Africa	Oldends Lane	Severnside	United Kingdom	4230113039	vat_registered	neels.vanderwesthuizen@nampak.com
Nasonti Technical Services (Pty) Ltd - Goedehoop Colliery	CUS-00098	ZAR	Johannesburg	Gauteng	South Africa				4450280922	vat_registered	Wesleyb@nasonti.com
NDTS - Non Destructive Testing Services	CUS-00099	ZAR	Johannesburg	Gauteng	South Africa	Van Slingelandtlaan 39		Netherlands	4150150373	vat_registered	jeanpierrep@ndts.co.za
Nedbank Limited - Bloemfontein	CUS-00100	ZAR	Johannesburg	Gauteng	South Africa	Bloemfontein	Free State	South Africa	4320116074	vat_registered	TebohoMa@nedbank.co.za
Nedbank Limited - Kingsmead	CUS-00101	ZAR	Johannesburg	Gauteng	South Africa			Jersey	4320116074	vat_registered	SeshneeG@Nedbank.co.za
Nedbank Limited - Meadowdale	CUS-00102	ZAR	Johannesburg	Gauteng	South Africa	Johannesburg	Gauteng	South Africa	4320116074	vat_registered	UrsulaC@nedbank.co.za
Nedbank Limited - Menlyn Maine Campus	CUS-00103	ZAR	Johannesburg	Gauteng	South Africa	Pretoria	Gauteng	South Africa	4320116074	vat_registered	Sipho.Mthethwa@bidvestfm.co.za
Nedbank Limited - Park Square Uhmlanga Rock	CUS-00104	ZAR	Umhalanga Rocks	Kwazulu-Natal	South Africa	uMhlanga	KwaZulu-Natal	South Africa	4320116074	vat_registered	StrinivassanC@Nedbank.co.za
Nedbank Limited - Pietermaritzburg	CUS-00105	ZAR	Pietermaritzburg	KwaZulu-Natal	South Africa	Pietermaritzburg	KwaZulu-Natal	South Africa	4320116074	vat_registered	LindiweMahla@Nedbank.co.za
Nedbank Limited - Polokwane	CUS-00106	ZAR	Polokwane	Limpopo	South Africa	Polokwane	Limpopo	South Africa	4320116074	vat_registered	MorwediP@Nedbank.co.za
Nedbank Limited - Rivonia	CUS-00107	ZAR	Johannesburg	Gauteng	South Africa	Johannesburg	Gauteng	South Africa	4320116074	vat_registered	MphoMolo@nedbank.co.za
Nedbank Limited - Stoneridge	CUS-00108	ZAR	Johannesburg	Gauteng	South Africa	Johannesburg	Gauteng	South Africa	4320116074	vat_registered	UrsulaC@nedbank.co.za
Nedbank Limited - Witfontein	CUS-00109	ZAR	Johannesburg	Gauteng	South Africa			South Africa	4320116074	vat_registered	UrsulaC@nedbank.co.za
Neopak (Pty) Ltd - Rosslyn	CUS-00110	ZAR	Pretoria	Gauteng	South Africa	Pretoria	Gauteng	South Africa	4290268541	vat_registered	Nthabiseng.Nkhumise@neopak.co.za
Northam Booysendal - Lydenburg	CUS-00111	ZAR	Lydenburg	Mpumalanga	South Africa			South Africa	4070202751	vat_registered	Kgalemo.Lentswe@norplats.co.za
Northam Platinum Limited	CUS-00112	ZAR	Brits	North West	South Africa	Brits	R566	South Africa	4530124520	vat_registered	Advice.Letshela@norplats.co.za
OPmobility (Pty) Ltd	CUS-00113	ZAR	Brits	North-West	South Africa				4310177854	vat_registered	Willie.kotze@plasticomnium.com
Peermont Global- Umfolozi Hotel, Casino, and Convention Resort	CUS-00114	ZAR	Empangeni	Kwazulu-Natal	South Africa	Empangeni	KwaZulu-Natal	South Africa		vat_not_registered	pmaharaj@umfolozicasino.co.za
Pentalin Processing (Pty) Ltd - Kleinfontein Colliery	CUS-00115	ZAR	Emalahleni	Mpumalanga	South Africa	Emalahleni	KwaZulu-Natal	South Africa	4530277385	vat_registered	schalk@pentalin.com
Pentalin Processing  (Pty) Ltd - Mgayo	CUS-00116	ZAR	Emalahleni	Mpumalanga	South Africa	Emalahleni	KwaZulu-Natal	South Africa	4530277385	vat_registered	sam@pentalin.com
Pentalin Processing (Pty) Ltd - Mzimkhulu Colliery	CUS-00117	ZAR	Emalahleni	Mpumalanga	South Africa	Emalahleni	KwaZulu-Natal	South Africa	4530277385	vat_registered	
Pentalin Processing (Pty) Ltd - Rietvlei	CUS-00118	ZAR	Emalahleni	Mpumalanga	South Africa	Emalahleni	KwaZulu-Natal	South Africa	4530277385	vat_registered	janhendrik@pentalin.com
PFG Building Glass (Pty) Ltd	CUS-00119	ZAR	Johannesburg	Gauteng	South Africa	Johannesburg	Gauteng	South Africa	4550138848	vat_registered	ygovender@pg.co.za
PMC Palabora Mining Company	CUS-00120	ZAR	Phalaborwa	Limpopo	South Africa	Phalaborwa	Limpopo	South Africa		vat_not_registered	Ezrom.Khosa@palabora.co.za
Proxa Water SA (Pty) Ltd	CUS-00121	ZAR	Johannesburg	Gauteng	South Africa			Belgium	4200264523	vat_registered	JWiese@proxawater.com
Puregas (Pty) Ltd	CUS-00122	ZAR	Johannesburg	Gauteng	South Africa	Johannesburg	Gauteng	South Africa	4340227109	vat_registered	muzi@puregas.co.za
QIT Minerals - Madagascar	CUS-00123	USD	Fort Dauphin	Antananarivo	Madagascar	Fort Dauphin	Antananarivo	Madagascar		overseas	Amelia.Louw@riotinto.com
Rand Plastics	CUS-00124	ZAR	Johannesburg	Gauteng	South Africa			Netherlands	4020116010	vat_registered	buyer1@randplastics.co.za
Rheinmetall Denel Munition (RF) (Pty) Ltd	CUS-00125	ZAR	Johannesburg	Gauteng	South Africa	Johannesburg	Gauteng	South Africa	4020247856	vat_registered	
RPM Amandelbult Limited	CUS-00126	ZAR	Amandelbult	Limpopo	South Africa	Amandelbult	Limpopo	South Africa	4310113883	vat_registered	dries.lusse@angloamerican.com
RPM Amandelbult Limited - Locomotive	CUS-00127	ZAR	Chromite	Limpopo	South Africa				4310113883	vat_registered	Dries.Lusse@angloamerican.com
Valterra Platinum Limited - Mortimer Smelter	CUS-00128	ZAR	Rustenburg	North-West	South Africa	Rustenburg	North-West	South Africa	4310113883	vat_registered	karabo.sathekge@valterraplatinum.com
Valterra Platinum Limited - Converter Plant (VCP)	CUS-00129	ZAR	Johannesburg	Gauteng	South Africa	Johannesburg	Gauteng	South Africa	4310113883	vat_registered	edwin.moabi@angloamerican.com
Valterra Platinum Limited - Base Metals Refinery	CUS-00130	ZAR	Rustenburg	North-West	South Africa	Rustenburg	North-West	South Africa	4310113883	vat_registered	beulise.vermaak@valterraplatinum.com
Valterra Platinum Limited - Mototolo Complex - Borwa	CUS-00131	ZAR	Johannesburg	Gauteng	South Africa	Burgersfort	Limpopo	South Africa	4310113883	vat_registered	Mzwakhe.Mbatha@valterraplatinum.com
Valterra Platinum Limited - Mototolo Complex - Lebowa	CUS-00132	ZAR	Johannesburg	Gauteng	South Africa	Johannesburg	Gauteng	South Africa	4520131816	vat_registered	Mzwakhe.Mbatha@valterraplatinum.com
Valterra Platinum Limited - Polokwane Smelter	CUS-00133	ZAR	Polokwane	Limpopo	South Africa				4310113883	vat_registered	eulanda.sibande@angloamerican.com
Rustenburg Platinum Mines Limited - Mototolo Concentrator	CUS-00134	ZAR	Lydenburg	Mpumalanga	South Africa	Johannesburg	Gauteng	South Africa	4310113883	vat_registered	Phumlani.Hlomuka@angloamerican.com
Valterra Platinum Limited - Waterval Smelters	CUS-00135	ZAR	Johannesburg	Gauteng	South Africa	Rustenburg	North West	South Africa	4310113883	vat_registered	amo.mosito@valterraplatinum.com
Ruzanche Solutions (Pty) Ltd	CUS-00136	ZAR			South Africa					vat_not_registered	
SA Metal Group (Pty) Ltd	CUS-00137	ZAR	Cape Town	Western Cape	South Africa	Johannesburg	Gauteng	South Africa	4190108110	vat_registered	robert.young@sametal.co.za
Sabot SA (Pty) Ltd	CUS-00138	ZAR	Johannesburg	Gauteng	South Africa	Johannesburg	Gauteng	South Africa	4730228774	vat_registered	
Saint Gobain Construction Products SA (Pty) Ltd	CUS-00139	ZAR	Johannesburg	Gauteng	South Africa			Netherlands	4430103087	vat_registered	Kenneth.netshitholwe@saint-gobain.com
Saint Gobain Construction Products SA (Pty) Ltd - Isover	CUS-00140	ZAR	Johannesburg	Gauteng	South Africa			Netherlands	4430103087	vat_registered	Kylan.Pillay@saint-gobain.com
Sappi Southern Africa Ltd - Ngodwana Mill	CUS-00143	ZAR	Mbombela	Mpumalanga	South Africa	Mbombela	Mpumalanga	South Africa	4750105456	vat_registered	Hubert.DuPreez@sappi.com
Haggie Wire and Strand (Pty) Ltd	CUS-00144	ZAR	Johannesburg	Gauteng	South Africa	Germiston	Gauteng	South Africa	4120313434	vat_registered	pscholtz@haggie.co.za
Sequence Logistics (Pty) Ltd	CUS-00145	ZAR	Johannesburg	Gauteng	South Africa	Johannesburg	Gauteng	South Africa	4800220065	vat_registered	Robyn.Harris@selog.co.za
Seriti Power (Pty) Ltd - Khutala Colliery	CUS-00146	ZAR	Ogies	Mpumalanga	South Africa	Ogies	R555	South Africa	4850204555	vat_registered	santosh.ca.kumar@seritiza.com
Seriti ZA - Kriel Colliery	CUS-00147	ZAR	Ga-nala	Kriel Rd Kriel Colliery	South Africa	Ga-nala	Kriel Rd Kriel Colliery	South Africa	4420277487	vat_registered	pretty.buthelezi@seritiza.com
Service First Cape (Pty) Ltd	CUS-00148	ZAR	Cape Town	Western Cape	South Africa	Cape Town	Western Cape	South Africa	4430209892	vat_registered	natheer@sfirst.co.za
SEW Eurodrive (Pty) Ltd	CUS-00149	ZAR	Johannesburg	Gauteng	South Africa	Component 125 - 127		Netherlands		vat_not_registered	epretorius@sew.com
Sibanye Stillwater (Pty) Ltd - Eastern Platinum - Saffy Shaft	CUS-00150	ZAR			South Africa			South Africa		vat_not_registered	
Sibanye Rustenburg Platinum Mines (Pty) Ltd	CUS-00151	ZAR	Kroondal		South Africa		Kroondal	South Africa	4490221779	vat_registered	
South African Sugar Association	CUS-00152	ZAR	Durban North	Kwazulu-Natal	South Africa	Mount Edgecombe	Blackburn Estate	South Africa	4410108247	vat_registered	Sindi.Gumede@sasa.org.za
South32 - Hillside Aluminium (Pty) Ltd	1AL024	ZAR	Johannesburg	Gauteng	South Africa	Richards Bay	Kwazulu-Natal	South Africa	4460199757	vat_registered	johan.j.oberholzer@south32.net
Specialised Air-conditioning Solutions (Pty) Ltd	CUS-00154	ZAR	Durban North	Kwazulu-Natal	South Africa	Durban	KwaZulu-Natal	South Africa		vat_not_registered	dylan@sasaircon.co.za
Steinmuller Africa (Pty) Ltd	CUS-00155	ZAR	Johannesburg	Gauteng	South Africa			South Africa	4550116778	vat_registered	jean-pierre.van.niewenhuizen@bilfinger.com
Swartland Insulation (Pty) Ltd	CUS-00156	ZAR	Cape Town	Western Cape	South Africa	Johannesburg	Gauteng		4060288067	vat_registered	pdmaintenannce@Swartland.co.za
Swartland Investments (Pty) Ltd	CUS-00157	ZAR	Atlantis	Western Cape	South Africa	Moorreesburg		South Africa	4280268402	vat_registered	pdmaintenance@Swartland.co.za
